 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2018       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2019       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2020       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2021       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2022       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
   1  SUDESTE               ANDE
2018     1649.   1678.   1666.   1371.   1242.   1287.   1338.   1436.   1535.   1515.   1377.   1551. 
2019     1808.   1756.   1749.   1439.   1304.   1351.   1405.   1507.   1612.   1591.   1446.   1628. 
2020     1898.   1780.   1836.   1511.   1369.   1419.   1475.   1583.   1693.   1671.   1519.   1710. 
2021     1993.   1936.   1928.   1587.   1438.   1489.   1549.   1662.   1778.   1754.   1595.   1795. 
2022     2093.   2033.   2025.   1666.   1510.   1564.   1626.   1745.   1866.   1842.   1674.   1885. 
POS      2093.   2033.   2025.   1666.   1510.   1564.   1626.   1745.   1866.   1842.   1674.   1885. 
   1  SUDESTE        AJUSTE CARGA
2018     -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.
2019     -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.
2020     -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.
2021     -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.
2022     -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.
POS      -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.   -162.
   2  SUL           AJUSTE CARGA
2018     -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117. 
2019     -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117. 
2020     -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117. 
2021     -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117. 
2022     -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117. 
POS      -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117.   -117. 
   3  NORDESTE      AJUSTE CARGA
2018     -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225. 
2019     -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225. 
2020     -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225. 
2021     -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225. 
2022     -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225. 
POS      -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225.   -225. 
   1   SUDESTE       PERDAS
2018     -138.   -122.   -110.   -100.   -199.   -165.    -98.   -233.   -231.   -206.   -166.   -115.
2019     -143.   -126.   -114.   -104.   -206.   -171.   -101.   -241.   -239.   -213.   -172.   -119.
2020     -148.   -131.   -118.   -107.   -213.   -177.   -105.   -249.   -247.   -221.   -178.   -123.
2021     -153.   -135.   -122.   -111.   -220.   -183.   -109.   -258.   -256.   -228.   -184.   -127.
2022     -158.   -140.   -126.   -115.   -228.   -189.   -112.   -267.   -265.   -236.   -190.   -132.
POS      -158.   -140.   -126.   -115.   -228.   -189.   -112.   -267.   -265.   -236.   -190.   -132.
   2   SUL           PERDAS                                                                           
2018      -41.    -36.    -32.    -29.    -58.    -48.    -29.    -68.    -68.    -60.    -49.    -34.
2019      -42.    -37.    -33.    -30.    -60.    -50.    -30.    -70.    -70.    -62.    -51.    -35.
2020      -44.    -38.    -34.    -31.    -62.    -51.    -31.    -73.    -73.    -64.    -52.    -36.
2021      -45.    -40.    -35.    -32.    -64.    -53.    -32.    -75.    -75.    -66.    -54.    -38.
2022      -47.    -42.    -37.    -33.    -67.    -55.    -33.    -78.    -78.    -69.    -57.    -39.
POS       -47.    -42.    -37.    -33.    -67.    -55.    -33.    -78.    -78.    -69.    -57.    -39.
   3  NORDESTE       PERDAS                                                                           
2018      -38.    -34.    -31.    -28.    -55.    -46.    -27.    -65.    -64.    -57.    -46.    -32.
2019      -40.    -35.    -32.    -29.    -57.    -48.    -28.    -68.    -67.    -59.    -48.    -33.
2020      -41.    -37.    -34.    -30.    -60.    -50.    -29.    -70.    -69.    -62.    -50.    -35.
2021      -43.    -38.    -35.    -32.    -62.    -52.    -30.    -73.    -72.    -64.    -52.    -36.
2022      -45.    -40.    -36.    -33.    -65.    -54.    -32.    -76.    -75.    -67.    -54.    -38.
POS       -45.    -40.    -36.    -33.    -65.    -54.    -32.    -76.    -75.    -67.    -54.    -38.
