COD  NOME        ENCHIMENTO  VOLUME MORTO    DATA    POT.   MQ CJ
                  INICIO    DUR.MESES  %    ENTRADA
XXXX XXXXXXXXXXXX XX/XXXX      XX     XX.X  XX/XXXX XXXX.X
  83 BAIXO IGUACU  5/2018       3      0.0
                                             4/2019  116.7   1  1 
                                             5/2019  116.7   2  1 
                                             6/2019  116.7   3  1 
9999
  54 STA BRANCA T 10/2020       3      0.0
                                             6/2022   31.0   1  1 
                                             6/2022   31.0   2  1 
9999
 318 FICT.STA BRA 10/2020       3      0.0
9999
 288 BELO MONTE                              3/2018  611.1   8  1 
                                             5/2018  611.1   9  1 
                                             8/2018  611.1  10  1 
                                            11/2018  611.1  11  1 
                                             2/2019  611.1  12  1 
                                             5/2019  611.1  13  1 
                                             8/2019  611.1  14  1 
                                            11/2019  611.1  15  1 
                                             2/2020  611.1  16  1 
                                             5/2020  611.1  17  1 
                                             8/2020  611.1  18  1 
9999
 228 COLIDER       1/2018       1     92.0
                                            11/2018  100.0   1  1 
                                             3/2019  100.0   2  1 
                                             5/2019  100.0   3  1 
9999
 227 SINOP         9/2018       3      0.0
                                             2/2019  133.3   1  1 
                                             2/2019  133.3   2  1 
                                             2/2019  133.3   3  1 
9999
 230 SAO MANOEL                              2/2018  175.0   2  1 
                                             3/2018  175.0   3  1 
                                             7/2018  175.0   4  1 
9999
