UH   ME ANO   P  MWmedio
XXX  XX XXXX  X  XXXX.X
275   1 2018  0  1380.
275   2 2018  0  1448.
275   3 2018  0  2250.
 66  01 2018  0  5247.
 66  02 2018  0  5276.
 66  03 2018  0  5263.
 66  04 2018  0  4968.
 66  05 2018  0  4840.
 66  06 2018  0  4884.
 66  07 2018  0  4935.
 66  08 2018  0  5033.
 66  09 2018  0  5133.
 66  10 2018  0  5113.
 66  11 2018  0  4975.
 66  12 2018  0  5148.
 66  01 2019  0  5406.
 66  02 2019  0  5354.
 66  03 2019  0  5347.
 66  04 2019  0  5037.
 66  05 2019  0  4902.
 66  06 2019  0  4948.
 66  07 2019  0  5002.
 66  08 2019  0  5105.
 66  09 2019  0  5210.
 66  10 2019  0  5189.
 66  11 2019  0  5044.
 66  12 2019  0  5226.
 66  01 2020  0  5496.
 66  02 2020  0  5378.
 66  03 2020  0  5434.
 66  04 2020  0  5109.
 66  05 2020  0  4967.
 66  06 2020  0  5016.
 66  07 2020  0  5073.
 66  08 2020  0  5180.
 66  09 2020  0  5290.
 66  10 2020  0  5268.
 66  11 2020  0  5116.
 66  12 2020  0  5307.
 66  01 2021  0  5591.
 66  02 2021  0  5534.
 66  03 2021  0  5526.
 66  04 2021  0  5184.
 66  05 2021  0  5035.
 66  06 2021  0  5087.
 66  07 2021  0  5146.
 66  08 2021  0  5259.
 66  09 2021  0  5375.
 66  10 2021  0  5352.
 66  11 2021  0  5192.
 66  12 2021  0  5393.
 66  01 2022  0  5691.
 66  02 2022  0  5630.
 66  03 2022  0  5622.
 66  04 2022  0  5264.
 66  05 2022  0  5107.
 66  06 2022  0  5161.
 66  07 2022  0  5224.
 66  08 2022  0  5342.
 66  09 2022  0  5464.
 66  10 2022  0  5439.
 66  11 2022  0  5272.
 66  12 2022  0  5483.
 66  01 POS   0  5691.
 66  02 POS   0  5630.
 66  03 POS   0  5622.
 66  04 POS   0  5264.
 66  05 POS   0  5107.
 66  06 POS   0  5161.
 66  07 POS   0  5224.
 66  08 POS   0  5342.
 66  09 POS   0  5464.
 66  10 POS   0  5439.
 66  11 POS   0  5272.
 66  12 POS   0  5483.
999
