 NUM  NOME CLASSE  TIPO COMB.  CUSTO   CUSTO   CUSTO   CUSTO   CUSTO   
 XXXX XXXXXXXXXXXX XXXXXXXXXX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX
    1 ANGRA 1      Nuclear      29.13   29.13   29.13   29.13   29.13                                                                                                                                                     
   13 ANGRA 2      Nuclear      20.12   20.12   20.12   20.12   20.12                                                                                                                                                     
  211 BAIXADA FLU  Gas          88.32   88.32   88.32   88.32   88.32                                                                                                                                                     
    7 CARIOBA      Oleo        937.00  937.00  937.00  937.00  937.00                                                                                                                                                     
   97 CCBS         Gas         303.81  303.81  303.81  303.81  303.81                                                                                                                                                     
  219 CCBS_L1      Gas         303.81  303.81  303.81  303.81  303.81                                                                                                                                                     
  220 CCBS_L13     Gas         300.71  300.71  300.71  300.71  300.71                                                                                                                                                     
   12 CUIABA G CC  Gas         511.77  511.77  511.77  511.77  511.77                                                                                                                                                     
  153 DAIA         Diesel      752.06  752.06  752.06  752.06  752.06                                                                                                                                                     
   65 DO ATLAN_CSA Residuos I    0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  183 DO ATLANTICO Residuos I  175.13  175.13  175.13  175.13  175.13                                                                                                                                                     
  213 EBOLT_L1     Gas         283.00  283.00  283.00  283.00  283.00                                                                                                                                                     
  214 EBOLT_L13    Gas         306.66  306.66  306.66  306.66  306.66                                                                                                                                                     
   62 ELETROBOLT   Gas         283.00  283.00  283.00  283.00  283.00                                                                                                                                                     
  110 F.GASPARIAN  Gas         399.02  399.02  399.02  399.02  399.02                                                                                                                                                     
  155 GOIANIA II   Diesel      779.56  779.56  779.56  779.56  779.56                                                                                                                                                     
   63 IBIRITERMO   Gas         346.37  346.37  346.37  346.37  346.37                                                                                                                                                     
    2 IGARAPE      Oleo        689.98  689.98  689.98  689.98  689.98                                                                                                                                                     
   54 JUIZ DE FORA Gas         213.84  213.84  213.84  213.84  213.84                                                                                                                                                     
   15 LINHARES     GNL         195.53  195.53  195.53  195.53  195.53                                                                                                                                                     
  171 NORTEFLU-1   Gas          52.37   52.37   52.37   52.37   52.37                                                                                                                                                     
  172 NORTEFLU-2   Gas          61.38   61.38   61.38   61.38   61.38                                                                                                                                                     
  173 NORTEFLU-3   Gas         117.01  117.01  117.01  117.01  117.01                                                                                                                                                     
  174 NORTEFLU-4   Gas         280.26  280.26  280.26  280.26  280.26                                                                                                                                                     
  229 ONCA PINTADA Biomassa     90.94   90.94   90.94   90.94   90.94                                                                                                                                                     
  182 PALMEIRAS GO Diesel      661.73  661.73  661.73  661.73  661.73                                                                                                                                                     
   50 PIRAT.12 G   Gas         470.34  470.34  470.34  470.34  470.34                                                                                                                                                     
  230 PREDILECTA   Biomassa    128.15  128.15  128.15  128.15  128.15                                                                                                                                                     
    9 R.SILVEIRA   Gas         677.33  677.33  677.33  677.33  677.33                                                                                                                                                     
    4 ST.CRUZ 34   Oleo        310.41  310.41  310.41  310.41  310.41                                                                                                                                                     
   86 ST.CRUZ NOVA GNL         130.82  130.82  130.82  130.82  130.82                                                                                                                                                     
  146 STA VITORIA  Biomassa     90.00   90.00   90.00   90.00   90.00                                                                                                                                                     
  217 T LAGOAS_L1  Gas         182.83  182.83  182.83  182.83  182.83                                                                                                                                                     
  218 T LAGOAS_L13 Gas         302.22  302.22  302.22  302.22  302.22                                                                                                                                                     
  194 T.NORTE 2    Oleo        910.86  910.86  910.86  910.86  910.86                                                                                                                                                     
  223 TERMOIRAPE I Biomassa    126.59  126.59  126.59  126.59  126.59                                                                                                                                                     
   90 TERMOMACAE   Gas         505.18  505.18  505.18  505.18  505.18                                                                                                                                                     
   47 TERMORIO     Gas         216.85  216.85  216.85  216.85  216.85                                                                                                                                                     
  215 TERMORIO_L1  Gas         216.85  216.85  216.85  216.85  216.85                                                                                                                                                     
  216 TERMORIO_L13 Gas         305.16  305.16  305.16  305.16  305.16                                                                                                                                                     
   68 TRES LAGOAS  Gas         182.83  182.83  182.83  182.83  182.83                                                                                                                                                     
   19 UTE BRASILIA Diesel     1047.38 1047.38 1047.38 1047.38 1047.38                                                                                                                                                     
   49 VIANA        Oleo        436.43  436.43  436.43  436.43  436.43                                                                                                                                                     
   34 W.ARJONA     Gas         297.27  297.27  297.27  297.27  297.27                                                                                                                                                     
  108 XAVANTES     Diesel     1078.11 1078.11 1078.11 1078.11 1078.11                                                                                                                                                     
   48 ARAUCARIA    Gas         710.65  710.65  710.65  710.65  710.65                                                                                                                                                     
   37 ARGENTINA 1  CONTRATO     43.02   43.02   43.02   43.02   43.02                                                                                                                                                     
   71 ARGENTINA 1B CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   38 ARGENTINA 2A CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   39 ARGENTINA 2B CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   40 ARGENTINA 2C CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   59 ARGENTINA 2D CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
  156 CANDIOTA 3   Carvao       78.72   78.72   78.72   78.72   78.72                                                                                                                                                     
   64 CANOAS       Diesel      698.14  698.14  698.14  698.14  698.14                                                                                                                                                     
  169 CISFRAMA     Biomassa    281.70  281.70  281.70  281.70  281.70                                                                                                                                                     
   28 FIGUEIRA     Carvao      486.49  486.49  486.49  486.49  486.49                                                                                                                                                     
   26 J.LACERDA A1 Carvao      238.56  238.56  238.56  238.56  238.56                                                                                                                                                     
   27 J.LACERDA A2 Carvao      217.89  217.89  217.89  217.89  217.89                                                                                                                                                     
   25 J.LACERDA B  Carvao      209.48  209.48  209.48  209.48  209.48                                                                                                                                                     
   24 J.LACERDA C  Carvao      178.91  178.91  178.91  178.91  178.91                                                                                                                                                     
   30 NUTEPA       Oleo        780.00  780.00  780.00  780.00  780.00                                                                                                                                                     
   22 P.MEDICI A   Carvao      115.90  115.90  115.90  115.90  115.90                                                                                                                                                     
   23 P.MEDICI B   Carvao      115.90  115.90  115.90  115.90  115.90                                                                                                                                                     
  107 PAMPA SUL    Carvao       52.50   52.50   52.50   52.50   52.50                                                                                                                                                     
   32 S.JERONIMO   Carvao      248.31  248.31  248.31  248.31  248.31                                                                                                                                                     
  149 SAO SEPE     Biomassa     71.72   71.72   71.72   71.72   71.72                                                                                                                                                     
   35 URUGUAIANA   Gas         486.20  486.20  486.20  486.20  486.20                                                                                                                                                     
  109 ALTOS        Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
  111 ARACATI      Diesel      646.38  646.38  646.38  646.38  646.38                                                                                                                                                     
  112 BAHIA I      Oleo        611.26  611.26  611.26  611.26  611.26                                                                                                                                                     
