NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   7 POTEF    36.00  1 2018          CARIOBA                                                                                                                                                            
   7 FCMAX     0.00  1 2018                                                                                                                                                                             
  97 POTEF   216.00  1 2020          CCBS                                                                                                                                                               
  97 GTMIN  0086.40  1 2020                                                                                                                                                                             
 219 POTEF   157.17  1 2018 12 2019  CCBS_L1                                                                                                                                                            
 219 GTMIN  0062.87  1 2018  2 2018                                                                                                                                                                     
 219 GTMIN    38.62  3 2018  3 2018                                                                                                                                                                     
 219 GTMIN    29.92  4 2018  4 2018                                                                                                                                                                     
 219 GTMIN  0062.87  5 2018 12 2019                                                                                                                                                                     
 220 POTEF    58.83  1 2018 12 2019  CCBS_L13                                                                                                                                                           
 220 GTMIN  0023.53  1 2018 12 2019                                                                                                                                                                     
  12 POTEF   529.20  1 2018          CUIABA G CC                                                                                                                                                        
  12 FCMAX     0.00  1 2018                                                                                                                                                                             
 153 POTEF    44.44  1 2018          DAIA                                                                                                                                                               
 153 FCMAX    84.99  1 2018                                                                                                                                                                             
  65 POTEF   254.80  1 2018          DO ATLAN_CSA                                                                                                                                                       
  65 GTMIN   234.49  1 2018  3 2018                                                                                                                                                                     
  65 GTMIN   218.84  4 2018  4 2018                                                                                                                                                                     
  65 GTMIN   219.37  5 2018  5 2018                                                                                                                                                                     
  65 GTMIN   234.49  6 2018  6 2018                                                                                                                                                                     
  65 GTMIN    83.19  7 2018  7 2018                                                                                                                                                                     
  65 GTMIN    68.07  8 2018  8 2018                                                                                                                                                                     
  65 GTMIN   234.49  9 2018  9 2018                                                                                                                                                                     
  65 GTMIN   219.37 10 2018 10 2018                                                                                                                                                                     
  65 GTMIN   234.49 11 2018 12 2018                                                                                                                                                                     
  65 GTMIN   166.41  1 2019  1 2019                                                                                                                                                                     
  65 GTMIN   200.98  2 2019  2 2019                                                                                                                                                                     
  65 GTMIN   234.49  3 2019  3 2019                                                                                                                                                                     
  65 IPTER    29.03  1 2019  1 2019                                                                                                                                                                     
  65 GTMIN   148.50  4 2019  4 2019                                                                                                                                                                     
  65 IPTER    14.29  2 2019  2 2019                                                                                                                                                                     
  65 GTMIN   219.36  5 2019  5 2019                                                                                                                                                                     
  65 IPTER     0.00  3 2019  3 2019                                                                                                                                                                     
  65 GTMIN   234.49  6 2019  9 2019                                                                                                                                                                     
  65 IPTER    36.67  4 2019  4 2019                                                                                                                                                                     
  65 GTMIN   219.36 10 2019 10 2019                                                                                                                                                                     
  65 IPTER     6.45  5 2019  5 2019                                                                                                                                                                     
  65 GTMIN   234.49 11 2019  1 2020                                                                                                                                                                     
  65 IPTER     0.00  6 2019  9 2019                                                                                                                                                                     
  65 GTMIN   218.31  2 2020  2 2020                                                                                                                                                                     
  65 IPTER     6.45 10 2019 10 2019                                                                                                                                                                     
  65 GTMIN   234.49  3 2020  3 2020                                                                                                                                                                     
  65 IPTER     0.00 11 2019  1 2020                                                                                                                                                                     
  65 GTMIN   218.85  4 2020  4 2020                                                                                                                                                                     
  65 IPTER     6.90  2 2020  2 2020                                                                                                                                                                     
  65 GTMIN   234.49  5 2020  7 2020                                                                                                                                                                     
  65 IPTER     0.00  3 2020  3 2020                                                                                                                                                                     
  65 GTMIN   219.36  8 2020  8 2020                                                                                                                                                                     
  65 IPTER     6.67  4 2020  4 2020                                                                                                                                                                     
  65 GTMIN   234.49  9 2020 10 2020                                                                                                                                                                     
  65 IPTER     0.00  5 2020  7 2020                                                                                                                                                                     
  65 GTMIN   218.85 11 2020 11 2020                                                                                                                                                                     
  65 IPTER     6.45  8 2020  8 2020                                                                                                                                                                     
  65 GTMIN   234.49 12 2020  2 2021                                                                                                                                                                     
  65 IPTER     0.00  9 2020 10 2020                                                                                                                                                                     
  65 GTMIN   151.29  3 2021  3 2021                                                                                                                                                                     
  65 IPTER     6.67 11 2020 11 2020                                                                                                                                                                     
  65 GTMIN   218.85  4 2021  4 2021                                                                                                                                                                     
  65 IPTER     0.00 12 2020  2 2021                                                                                                                                                                     
  65 GTMIN   158.84  5 2021  5 2021                                                                                                                                                                     
  65 IPTER    35.48  3 2021  3 2021                                                                                                                                                                     
  65 GTMIN   218.85  6 2021  6 2021                                                                                                                                                                     
  65 IPTER     6.67  4 2021  4 2021                                                                                                                                                                     
  65 GTMIN   234.49  7 2021  9 2021                                                                                                                                                                     
  65 IPTER    32.26  5 2021  5 2021                                                                                                                                                                     
  65 GTMIN   219.36 10 2021 10 2021                                                                                                                                                                     
  65 IPTER     6.67  6 2021  6 2021                                                                                                                                                                     
  65 GTMIN   234.49 11 2021 11 2021                                                                                                                                                                     
  65 IPTER     0.00  7 2021  9 2021                                                                                                                                                                     
  65 GTMIN   219.36 12 2021 12 2021                                                                                                                                                                     
  65 IPTER     6.45 10 2021 10 2021                                                                                                                                                                     
  65 GTMIN    30.24  1 2022  1 2022                                                                                                                                                                     
  65 IPTER     0.00 11 2021 11 2021                                                                                                                                                                     
  65 GTMIN   192.61  2 2022  2 2022                                                                                                                                                                     
  65 IPTER     6.45 12 2021 12 2021                                                                                                                                                                     
  65 GTMIN   219.36  3 2022  3 2022                                                                                                                                                                     
  65 IPTER    87.10  1 2022  1 2022                                                                                                                                                                     
  65 GTMIN   234.49  4 2022                                                                                                                                                                             
  65 IPTER    17.86  2 2022  2 2022                                                                                                                                                                     
  65 IPTER     6.45  3 2022  3 2022                                                                                                                                                                     
  65 IPTER     0.00  4 2022                                                                                                                                                                             
 183 POTEF   235.20  1 2018          DO ATLANTICO                                                                                                                                                       
 183 IPTER     5.58  1 2018                                                                                                                                                                             
 183 GTMIN  0201.50  1 2018                                                                                                                                                                             
 213 POTEF   320.65  1 2018 12 2019  EBOLT_L1                                                                                                                                                           
 213 GTMIN  0000.00  1 2018  1 2018                                                                                                                                                                     
 213 GTMIN  0000.00  2 2018  2 2018                                                                                                                                                                     
 213 GTMIN  0000.00  3 2018  3 2018                                                                                                                                                                     
 213 GTMIN  0000.00  4 2018  4 2018                                                                                                                                                                     
 213 GTMIN  0000.00 10 2018 10 2018                                                                                                                                                                     
 213 GTMIN  0000.00 11 2018 11 2018                                                                                                                                                                     
 213 GTMIN  0000.00 12 2018 12 2018                                                                                                                                                                     
 213 GTMIN  0000.00  1 2019  1 2019                                                                                                                                                                     
 213 GTMIN  0000.00  2 2019  2 2019                                                                                                                                                                     
 213 GTMIN  0000.00  3 2019  3 2019                                                                                                                                                                     
 213 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
 214 POTEF    65.25  1 2018 12 2019  EBOLT_L13                                                                                                                                                          
 214 GTMIN  0000.00  1 2018  1 2018                                                                                                                                                                     
 214 GTMIN  0000.00  2 2018  2 2018                                                                                                                                                                     
 214 GTMIN  0000.00  3 2018  3 2018                                                                                                                                                                     
 214 GTMIN  0000.00  4 2018  4 2018                                                                                                                                                                     
 214 GTMIN  0000.00 10 2018 10 2018                                                                                                                                                                     
 214 GTMIN  0000.00 11 2018 11 2018                                                                                                                                                                     
 214 GTMIN  0000.00 12 2018 12 2018                                                                                                                                                                     
 214 GTMIN  0000.00  1 2019  1 2019                                                                                                                                                                     
 214 GTMIN  0000.00  2 2019  2 2019                                                                                                                                                                     
