 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 USINA    1                                 CAMARGOS            
 VAZMIN       34
 VMAXT     1 2018  46.430 '%'
 VMAXT     2 2018  70.240 '%'
 VMAXT     3 2018  94.050 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  53.870 '%'
 VMAXT    12 2018  44.940 '%'
 VMAXT     2 2019  49.400 '%'
 VMAXT     3 2019  77.680 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  53.870 '%'
 VMAXT    12 2019  44.940 '%'
 VMAXT     2 2020  49.400 '%'
 VMAXT     3 2020  77.680 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  53.870 '%'
 VMAXT    12 2020  44.940 '%'
 VMAXT     2 2021  49.400 '%'
 VMAXT     3 2021  77.680 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  53.870 '%'
 VMAXT    12 2021  44.940 '%'
 VMAXT     2 2022  49.400 '%'
 VMAXT     3 2022  77.680 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  53.870 '%'
 VMAXT    12 2022  44.940 '%'
 USINA    2                                 ITUTINGA            
 VAZMIN       34
 USINA    6                                 FURNAS              
 VAZMIN      131
 VMAXT     1 2018  96.320 '%'
 VMAXT     2 2018  97.480 '%'
 VMAXT     3 2018  98.960 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  97.100 '%'
 VMAXT    12 2018  93.130 '%'
 VMAXT     1 2019  95.240 '%'
 VMAXT     2 2019  97.070 '%'
 VMAXT     3 2019  98.760 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  97.100 '%'
 VMAXT    12 2019  93.130 '%'
 VMAXT     1 2020  95.240 '%'
 VMAXT     2 2020  97.070 '%'
 VMAXT     3 2020  98.760 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  97.100 '%'
 VMAXT    12 2020  93.130 '%'
 VMAXT     1 2021  95.240 '%'
 VMAXT     2 2021  97.070 '%'
 VMAXT     3 2021  98.760 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  97.100 '%'
 VMAXT    12 2021  93.130 '%'
 VMAXT     1 2022  95.240 '%'
 VMAXT     2 2022  97.070 '%'
 VMAXT     3 2022  98.760 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  97.100 '%'
 VMAXT    12 2022  93.130 '%'
 USINA    7                                 M. DE MORAES        
 VAZMIN      149
 VMAXT     1 2018  80.000 '%'
 VMINT     1 2018  13.230 '%'
 VMAXT     2 2018  80.600 '%'
 VMAXT     3 2018  92.000 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  80.000 '%'
 VMAXT     3 2019  90.400 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  80.000 '%'
 VMAXT     3 2020  90.400 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  80.000 '%'
 VMAXT     3 2021  90.400 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  80.000 '%'
 VMAXT     3 2022  90.400 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  80.000 '%'
 USINA    8                                 ESTREITO            
 VAZMIN      153
 USINA    9                                 JAGUARA             
 VAZMIN      168
 USINA    10                                IGARAPAVA           
 VAZMIN      172
 USINA    11                                VOLTA GRANDE        
 VAZMIN      178
 USINA    12                                P. COLOMBIA         
 VAZMIN      189
 USINA    14                                CACONDE             
 VAZMIN       32
 VMAXT     1 2018  94.050 '%'
 VMAXT     2 2018  96.030 '%'
 VMAXT     3 2018  98.020 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  98.020 '%'
 VMAXT    12 2018  92.060 '%'
 VMAXT     1 2019  94.050 '%'
 VMAXT     2 2019  96.030 '%'
 VMAXT     3 2019  98.020 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  98.020 '%'
 VMAXT    12 2019  92.060 '%'
 VMAXT     1 2020  94.050 '%'
 VMAXT     2 2020  96.030 '%'
 VMAXT     3 2020  98.020 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  98.020 '%'
 VMAXT    12 2020  92.060 '%'
 VMAXT     1 2021  94.050 '%'
 VMAXT     2 2021  96.030 '%'
 VMAXT     3 2021  98.020 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  98.020 '%'
 VMAXT    12 2021  92.060 '%'
 VMAXT     1 2022  94.050 '%'
 VMAXT     2 2022  96.030 '%'
 VMAXT     3 2022  98.020 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  98.020 '%'
 VMAXT    12 2022  92.060 '%'
 USINA    16                                A.S.OLIVEIRA        
 VAZMIN       19
 USINA    17                                MARIMBONDO          
 VAZMINT   1 2018  330.00 
 VAZMINT   3 2018  312.00 
 VAZMINT  11 2018  330.00 
 VAZMINT   3 2019  312.00 
 VAZMINT  11 2019  330.00 
 VAZMINT   3 2020  312.00 
 VAZMINT  11 2020  330.00 
 VAZMINT   3 2021  312.00 
 VAZMINT  11 2021  330.00 
 VAZMINT   3 2022  312.00 
 VAZMINT  11 2022  330.00 
 VMAXT     1 2018  71.250 '%'
 VMAXT     2 2018  78.750 '%'
 VMAXT     3 2018  88.310 '%'
 VMAXT     4 2018  95.000 '%'
 VMAXT    11 2018  76.330 '%'
 VMAXT    12 2018  58.750 '%'
 VMAXT     1 2019  64.470 '%'
 VMAXT     2 2019  76.080 '%'
 VMAXT     3 2019  86.980 '%'
 VMAXT     4 2019  95.000 '%'
 VMAXT    11 2019  76.330 '%'
 VMAXT    12 2019  58.750 '%'
 VMAXT     1 2020  64.470 '%'
 VMAXT     2 2020  76.080 '%'
 VMAXT     3 2020  86.980 '%'
 VMAXT     4 2020  95.000 '%'
 VMAXT    11 2020  76.330 '%'
 VMAXT    12 2020  58.750 '%'
 VMAXT     1 2021  64.470 '%'
 VMAXT     2 2021  76.080 '%'
 VMAXT     3 2021  86.980 '%'
 VMAXT     4 2021  95.000 '%'
 VMAXT    11 2021  76.330 '%'
 VMAXT    12 2021  58.750 '%'
 VMAXT     1 2022  64.470 '%'
 VMAXT     2 2022  76.080 '%'
 VMAXT     3 2022  86.980 '%'
 VMAXT     4 2022  95.000 '%'
 VMAXT    11 2022  76.330 '%'
 VMAXT    12 2022  58.750 '%'
 USINA    18                                A. VERMELHA         
 VMAXT     1 2018  72.740 '%'
 VMAXT     2 2018  81.370 '%'
 VMAXT     3 2018  92.320 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  78.600 '%'
 VMAXT    12 2018  57.460 '%'
 VMAXT     1 2019  65.160 '%'
 VMAXT     2 2019  78.330 '%'
 VMAXT     3 2019  90.790 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  78.600 '%'
 VMAXT    12 2019  57.460 '%'
 VMAXT     1 2020  65.160 '%'
 VMAXT     2 2020  78.330 '%'
 VMAXT     3 2020  90.790 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  78.600 '%'
 VMAXT    12 2020  57.460 '%'
 VMAXT     1 2021  65.160 '%'
 VMAXT     2 2021  78.330 '%'
 VMAXT     3 2021  90.790 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  78.600 '%'
 VMAXT    12 2021  57.460 '%'
 VMAXT     1 2022  65.160 '%'
 VMAXT     2 2022  78.330 '%'
 VMAXT     3 2022  90.790 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  78.600 '%'
 VMAXT    12 2022  57.460 '%'
 USINA    24                                EMBORCACAO          
 VAZMIN      100
 VMAXT     1 2018  97.350 '%'
 VMAXT     2 2018  98.180 '%'
 VMAXT     3 2018  99.260 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  97.920 '%'
 VMAXT    12 2018  95.070 '%'
 VMAXT     1 2019  95.760 '%'
 VMAXT     2 2019  97.890 '%'
 VMAXT     3 2019  99.100 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  97.920 '%'
 VMAXT    12 2019  95.070 '%'
 VMAXT     1 2020  95.760 '%'
 VMAXT     2 2020  97.890 '%'
 VMAXT     3 2020  99.100 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  97.920 '%'
 VMAXT    12 2020  95.070 '%'
 VMAXT     1 2021  95.760 '%'
 VMAXT     2 2021  97.890 '%'
 VMAXT     3 2021  99.100 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  97.920 '%'
 VMAXT    12 2021  95.070 '%'
 VMAXT     1 2022  95.760 '%'
 VMAXT     2 2022  97.890 '%'
 VMAXT     3 2022  99.100 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  97.920 '%'
 VMAXT    12 2022  95.070 '%'
 USINA    25                                NOVA PONTE          
 VAZMINT   1 2018  110.00 
 VAZMINT   4 2018   26.80 
 VAZMINT  11 2018  110.00 
 VAZMINT   4 2019   26.80 
 VAZMINT  11 2019  110.00 
 VAZMINT   4 2020   26.80 
 VAZMINT  11 2020  110.00 
 VAZMINT   4 2021   26.80 
 VAZMINT  11 2021  110.00 
 VAZMINT   4 2022   26.80 
 VAZMINT  11 2022  110.00 
 VMAXT     1 2018  98.030 '%'
 VMAXT     2 2018  98.640 '%'
 VMAXT     3 2018  99.440 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  98.440 '%'
 VMAXT    12 2018  96.060 '%'
 VMAXT     1 2019  96.540 '%'
 VMAXT     2 2019  98.420 '%'
 VMAXT     3 2019  99.340 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  98.440 '%'
 VMAXT    12 2019  96.060 '%'
 VMAXT     1 2020  96.540 '%'
 VMAXT     2 2020  98.420 '%'
 VMAXT     3 2020  99.340 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  98.440 '%'
 VMAXT    12 2020  96.060 '%'
 VMAXT     1 2021  96.540 '%'
 VMAXT     2 2021  98.420 '%'
 VMAXT     3 2021  99.340 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  98.440 '%'
 VMAXT    12 2021  96.060 '%'
 VMAXT     1 2022  96.540 '%'
 VMAXT     2 2022  98.420 '%'
 VMAXT     3 2022  99.340 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  98.440 '%'
 VMAXT    12 2022  96.060 '%'
 USINA    26                                MIRANDA             
 VAZMIN       64
 USINA    30                                CORUMBA I           
 VAZMIN      120
 USINA    31                                ITUMBIARA           
 VAZMIN       70
 VMAXT     1 2018  91.260 '%'
 VMAXT     2 2018  94.020 '%'
 VMAXT     3 2018  97.530 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  93.130 '%'
 VMAXT    12 2018  86.030 '%'
 VMAXT     1 2019  88.130 '%'
 VMAXT     2 2019  93.040 '%'
 VMAXT     3 2019  97.050 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  93.130 '%'
 VMAXT    12 2019  86.030 '%'
 VMAXT     1 2020  88.130 '%'
 VMAXT     2 2020  93.040 '%'
 VMAXT     3 2020  97.050 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  93.130 '%'
 VMAXT    12 2020  86.030 '%'
 VMAXT     1 2021  88.130 '%'
 VMAXT     2 2021  93.040 '%'
 VMAXT     3 2021  97.050 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  93.130 '%'
 VMAXT    12 2021  86.030 '%'
 VMAXT     1 2022  88.130 '%'
 VMAXT     2 2022  93.040 '%'
 VMAXT     3 2022  97.050 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  93.130 '%'
 VMAXT    12 2022  86.030 '%'
 USINA    32                                CACH.DOURADA        
 VAZMIN       20
 USINA    33                                SAO SIMAO           
 VMAXT     1 2018  70.110 '%'
 VMAXT     2 2018  79.530 '%'
 VMAXT     3 2018  91.570 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  76.500 '%'
 VMAXT    12 2018  53.340 '%'
 VMAXT     1 2019  61.840 '%'
 VMAXT     2 2019  76.210 '%'
 VMAXT     3 2019  89.890 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  76.500 '%'
 VMAXT    12 2019  53.340 '%'
 VMAXT     1 2020  61.840 '%'
 VMAXT     2 2020  76.210 '%'
 VMAXT     3 2020  89.890 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  76.500 '%'
 VMAXT    12 2020  53.340 '%'
 VMAXT     1 2021  61.840 '%'
 VMAXT     2 2021  76.210 '%'
 VMAXT     3 2021  89.890 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  76.500 '%'
 VMAXT    12 2021  53.340 '%'
 VMAXT     1 2022  61.840 '%'
 VMAXT     2 2022  76.210 '%'
 VMAXT     3 2022  89.890 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  76.500 '%'
 VMAXT    12 2022  53.340 '%'
 USINA    37                                BARRA BONITA        
 VMAXT     1 2018  89.050 '%'
 VMINT     1 2018  48.290 '%'
 VMAXT     2 2018  92.520 '%'
 VMAXT     3 2018  95.710 '%'
 VMAXT     5 2018  96.490 '%'
 VMAXT     6 2018 100.000 '%'
 VMAXT    11 2018  91.310 '%'
 VMAXT    12 2018  75.060 '%'
 VMAXT     1 2019  77.400 '%'
 VMAXT     2 2019  81.680 '%'
 VMAXT     3 2019  89.870 '%'
 VMAXT     4 2019  95.710 '%'
 VMAXT     6 2019 100.000 '%'
 VMAXT    11 2019  91.310 '%'
 VMAXT    12 2019  75.060 '%'
 VMAXT     1 2020  77.400 '%'
 VMAXT     2 2020  81.680 '%'
 VMAXT     3 2020  89.870 '%'
 VMAXT     4 2020  95.710 '%'
 VMAXT     6 2020 100.000 '%'
 VMAXT    11 2020  91.310 '%'
 VMAXT    12 2020  75.060 '%'
 VMAXT     1 2021  77.400 '%'
 VMAXT     2 2021  81.680 '%'
 VMAXT     3 2021  89.870 '%'
 VMAXT     4 2021  95.710 '%'
 VMAXT     6 2021 100.000 '%'
 VMAXT    11 2021  91.310 '%'
 VMAXT    12 2021  75.060 '%'
 VMAXT     1 2022  77.400 '%'
 VMAXT     2 2022  81.680 '%'
 VMAXT     3 2022  89.870 '%'
 VMAXT     4 2022  95.710 '%'
 VMAXT     6 2022 100.000 '%'
 VMAXT    11 2022  91.310 '%'
 VMAXT    12 2022  75.060 '%'
 USINA    40                                PROMISSAO           
 VAZMIN      160
 VMAXT     1 2018  78.100 '%'
 VMINT     1 2018  28.950 '%'
 VMAXT     2 2018  85.670 '%'
