 REES X SUBMERCADOS
 NUM|NOME REES.| SUBM
 XXX|XXXXXXXXXX|  XXX
   1 SUDESTE        1                                                                                                   
   6 MADEIRA        1                                                                                                   
   7 TPIRES         1                                                                                                   
   5 ITAIPU         1                                                                                                   
  10 PARANA         1                                                                                                   
  12 PRNPANEMA      1                                                                                                   
   2 SUL            2                                                                                                   
  11 IGUACU         2                                                                                                   
   3 NORDESTE       3                                                                                                   
   4 NORTE          4                                                                                                   
   8 BMONTE         4                                                                                                   
   9 MAN-AP         4                                                                                                   
 999
