 NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    4.28  11.81 520.00 520.00 520.00 520.00 520.00 520.00 520.00 520.00 520.00 177.83 326.69 520.00 520.00  
  13 ANGRA 2       1350. 100.    1.32   9.38 1080.0 761.20 472.65 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0  
 211 BAIXADA FLU    530. 100.    6.19   5.88 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
   7 CARIOBA         36. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  97 CCBS             0. 100.    4.77   3.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 219 CCBS_L1        157. 100.    4.77   3.48 062.87 062.87  38.62  29.92 062.87 062.87 062.87 062.87 062.87 062.87 062.87 062.87  15.72  
 220 CCBS_L13        59. 100.    4.77   3.48 023.53 023.53 023.53 023.53 023.53 023.53 023.53 023.53 023.53 023.53 023.53 023.53   5.88  
  12 CUIABA G CC    529. 100.    7.68  23.22 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 153 DAIA            44. 100.   18.07   1.76 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  65 DO ATLAN_CSA   255.  93.    1.04   5.58 234.49 234.49 234.49 218.84 219.37 234.49  83.19  68.07 234.49 219.37 234.49 234.49 218.61  
 183 DO ATLANTICO   235.  93.    1.04   5.58 201.50 201.50 201.50 201.50 201.50 201.50 201.50 201.50 201.50 201.50 201.50 201.50 201.50  
 213 EBOLT_L1       321. 100.   17.06   2.76 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 214 EBOLT_L13       65. 100.   17.06   2.76 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  62 ELETROBOLT       0. 100.   17.06   2.76 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 110 F.GASPARIAN    572.  97.    9.06   6.31 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 155 GOIANIA II     140. 100.   32.90  13.31 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  63 IBIRITERMO     226. 100.    5.70   8.23 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
   2 IGARAPE        131. 100.   35.64  26.06 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  54 JUIZ DE FORA    87. 100.    5.91   2.80 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  15 LINHARES       204. 100.    3.40   1.32 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 171 NORTEFLU-1     400. 100.    0.00   0.00 399.99 399.99 399.99 253.31 399.99 399.99 399.99 399.99 399.99 399.99 399.99 399.99 399.99  
 172 NORTEFLU-2     100. 100.   10.37   5.43 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 173 NORTEFLU-3     200. 100.   10.37   5.43 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 174 NORTEFLU-4     127. 100.   10.37   5.43 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 229 ONCA PINTADA     0.  95.    3.19   5.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 182 PALMEIRAS GO   176.  80.   34.00   0.92 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  50 PIRAT.12 G     200. 100.    6.57  12.08 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 230 PREDILECTA       0. 100.    0.37   5.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
   9 R.SILVEIRA      25. 100.   26.29  26.27 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
   4 ST.CRUZ 34     436.  92.   24.25  18.01 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  86 ST.CRUZ NOVA   500. 100.    9.34   8.86 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 146 STA VITORIA      0.  93.    1.00  16.20 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 217 T LAGOAS_L1    134. 100.   10.40   4.99 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 218 T LAGOAS_L13   216. 100.   10.40   4.99 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 194 T.NORTE 2      340.  94.    4.20   4.88 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
 223 TERMOIRAPE I     0. 100.    0.50   4.50 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  90 TERMOMACAE     929. 100.    7.79   2.15 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  47 TERMORIO         0. 100.    9.05   4.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 215 TERMORIO_L1    770. 100.    9.05   4.11 074.73 074.73 074.73 074.73 074.73 074.73 074.73 074.73 074.73 074.73 074.73 074.73  60.04  
 216 TERMORIO_L13   266. 100.    9.05   4.11 025.77 025.77 025.77 025.77 025.77 025.77 025.77 025.77 025.77 025.77 025.77 025.77  20.71  
  68 TRES LAGOAS      0. 100.   10.40   4.99 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
  19 UTE BRASILIA    10. 100.    0.00  26.33 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00  
