********* DUMMY
********* DUMMY
 MESPLAN=            1  ANOPLAN=         2018
    1 CAMARGOS        157.00    103.00     91.00     66.00     62.00     52.00     41.00     36.00     30.00     41.00     58.00     80.00
    2 ITUTINGA        157.00    103.00     91.00     66.00     62.00     52.00     41.00     36.00     30.00     41.00     58.00     80.00
    6 FURNAS          794.00    575.00    595.00    365.00    429.00    354.00    242.00    175.00    131.00    210.00    365.00    565.00
    7 M. DE MORAE     922.00    716.00    680.00    418.00    475.00    383.00    267.00    197.00    150.00    234.00    439.00    711.00
    8 ESTREITO        950.00    751.00    699.00    431.00    486.00    390.00    273.00    202.00    155.00    239.00    454.00    747.00
    9 JAGUARA         959.00    768.00    707.00    436.00    490.00    393.00    276.00    205.00    157.00    241.00    458.00    763.00
   10 IGARAPAVA       989.00    813.00    730.00    452.00    501.00    402.00    284.00    211.00    162.00    247.00    473.00    806.00
   11 VOLTA GRAND    1064.00    904.00    780.00    486.00    529.00    421.00    299.00    224.00    174.00    262.00    512.00    898.00
   12 P. COLOMBIA    1222.00   1109.00    920.00    589.00    618.00    485.00    346.00    263.00    202.00    294.00    575.00   1038.00
   14 CACONDE          79.00     55.00     62.00     40.00     40.00     32.00     24.00     23.00     17.00     17.00     31.00     29.00
   15 E. DA CUNHA     129.00     90.00    101.00     65.00     65.00     52.00     40.00     37.00     27.00     28.00     50.00     48.00
   16 A.S.OLIVEIR     130.00     91.00    103.00     66.00     66.00     53.00     40.00     37.00     28.00     28.00     51.00     48.00
   17 MARIMBONDO     1934.00   1773.00   1512.00   1022.00   1116.00    875.00    640.00    506.00    377.00    456.00    938.00   1428.00
   18 A. VERMELHA    2196.00   2121.00   1823.00   1276.00   1373.00   1060.00    790.00    655.00    473.00    573.00   1106.00   1813.00
   20 BOCAINA          91.00    142.00    100.00     59.00     55.00     35.00     27.00     22.00     17.00     18.00     67.00    188.00
   22 BATALHA          53.00    109.00     74.00     44.00     40.00     22.00     17.00     14.00     11.00      9.00     43.00    140.00
   23 CORUMBA III      92.00    148.00    116.00    104.00     69.00     44.00     35.00     31.00     23.00     19.00     46.00    166.00
