AGRUPAMENTOS DE INTERCAMBIO
 #AG A   B   COEF
 XXX XXX XXX XX.XXXX
   1   1   3  1.0000
   1  11   3  1.0000
   2   3   1  1.0000
   2   3  11  1.0000
   4  11   1  1.0000
   4  11   3  1.0000
   5   4   1  1.0000
   5  11   1  1.0000
   6   1   4  1.0000
   6   1  11  1.0000
   7  11   1  1.0000
   7   4   1  1.0000
   7  11   3  1.0000
   8   1   3  1.0000
   8   1  11  1.0000
   8   1   4  1.0000
   9   1   3  1.0000
   9   1  11  1.0000
   9   1   4  1.0000
   9  11   3  1.0000
  10   1   3  1.0000
  10   1  11  1.0000
  10  11   3  1.0000
 999
LIMITES POR GRUPO
  #AG MI ANOI MF ANOF LIM_P1  LIM_P2  LIM_P3
 XXX  XX XXXX XX XXXX XXXXXX. XXXXXX. XXXXXX.
   1   6 2019  6 2019   4550.   4250.   3950.
   1   7 2019  7 2019   4051.   4051.   3651.
   1   8 2019  9 2019   4300.   4300.   3800.
   1  10 2019 12 2019   4500.   4500.   4500.
   1   1 2020  6 2020   5500.   5500.   4500.
   1   7 2020 12 2020   4800.   4800.   4650.
   1   1 2021  5 2021   5500.   5500.   4650.
   1   6 2021  6 2021   6500.   6500.   4800.
   1   7 2021 12 2021   6800.   6800.   4800.
   1   1 2022  2 2022   6500.   6500.   4800.
   1   3 2022  6 2022   7800.   7800.   6400.
   1   7 2022 12 2022   7100.   7100.   6600.
   1   1 2023  3 2023   7800.   7800.   6400.
   1   4 2023  6 2023  10100.  10100.   8000.
   1   7 2023 12 2023   8900.   8900.   8900.
   2   6 2019  6 2019   4500.   4500.   4400.
   2   7 2019  5 2021   5500.   5500.   5300.
   2   6 2021  2 2022   5800.   5800.   5800.
   2   3 2022  3 2023  11000.  11000.  10000.
   2   4 2023 12 2023  13300.  13300.  12700.
   4   6 2019  2 2022   6000.   6000.   5700.
   4   3 2022  3 2023   7400.   7400.   6800.
   4   4 2023 12 2023   9100.   9100.   7800.
   5   6 2019  9 2019   6115.   6115.   5015.
   5  10 2019 10 2019  10515.  10515.  10215.
   5  11 2019  4 2020  10157.  10157.   9857.
   5   5 2020 10 2020  10515.  10515.  10215.
   5  11 2020  4 2021  10157.  10157.   9857.
   5   5 2021 10 2021  10515.  10515.  10215.
   5  11 2021  2 2022  10157.  10157.   9857.
   5   3 2022  4 2022  10257.  10257.  10257.
   5   5 2022 10 2022  10615.  10615.  10615.
   5  11 2022  3 2023  10257.  10257.  10257.
   5   4 2023  4 2023  12557.  12557.  11557.
   5   5 2023 10 2023  12915.  12915.  11915.
   5  11 2023 12 2023  12557.  12557.  11557.
   6   6 2019  3 2023   5400.   5400.   5200.
   6   4 2023 12 2023   7300.   7300.   5600.
   7   6 2019  9 2019   9200.   9200.   8000.
   7  10 2019  2 2022  14000.  14000.  13300.
   7   3 2022  3 2023  15400.  15400.  14800.
   7   4 2023 12 2023  16000.  16000.  17000.
   8   6 2019  9 2019   6000.   6000.   6000.
   8  10 2019  6 2020   6400.   6400.   6300.
   8   7 2020  2 2022   6800.   6800.   6700.
   8   3 2022  3 2023   9100.   9100.   8100.
   8   4 2023 12 2023  10100.  10100.   9000.
   9   7 2019  9 2019   7800.   7800.   7800.
   9  10 2019 12 2019   8000.   8000.   8000.
   9   7 2020 12 2020   8200.   8200.   8500.
   9   7 2021 12 2021   9000.   9000.   9400.
   9   7 2022 12 2022  11200.  11200.   9500.
   9   7 2023 12 2023  13000.  13000.  11000.
  10   6 2019  6 2019   8441.   8441.   7441.
  10   7 2019  7 2019   8287.   8287.   7287.
 999
