 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2019        0.      0.      0.      0.      0.     18.     18.     18.     18.     18.     18.     18.
2020       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2021       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2022       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2023       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
   1
2019        0.      0.      0.      0.      0.   1431.   1516.   1533.   1602.   1700.   1648.   2002.
2020     1951.   1973.   1937.   1847.   1615.   1511.   1556.   1610.   1683.   1785.   1731.   2102.
2021     2049.   2146.   2034.   1939.   1696.   1586.   1633.   1690.   1767.   1874.   1817.   2207.
2022     2151.   2253.   2135.   2036.   1781.   1666.   1715.   1775.   1855.   1968.   1908.   2317.
2023     2258.   2366.   2242.   2138.   1870.   1749.   1801.   1863.   1948.   2066.   2003.   2433.
POS      2258.   2366.   2242.   2138.   1870.   1749.   1801.   1863.   1948.   2066.   2003.   2433.
 999
