ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ
XXXX  XXX XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X
2019    1   0.00   0.00   0.00   0.00   0.00  -0.48  -0.48  -0.38  -0.50  -0.18  -0.21  -0.18
2020    1  -0.22  -0.17  -0.40  -0.49  -0.24  -0.49  -0.49  -0.38  -0.51  -0.18  -0.21  -0.18
2021    1  -0.22  -0.17  -0.41  -0.50  -0.24  -0.50  -0.50  -0.39  -0.52  -0.18  -0.21  -0.18
2022    1  -0.22  -0.17  -0.42  -0.51  -0.25  -0.51  -0.51  -0.40  -0.53  -0.18  -0.21  -0.18
2023    1  -0.22  -0.17  -0.42  -0.52  -0.25  -0.52  -0.52  -0.40  -0.54  -0.18  -0.21  -0.18
2019    4   0.00   0.00   0.00   0.00   0.00  -2.98  -2.89  -1.77  -3.43  -0.62  -0.62  -0.62
2020    4  -0.62  -0.62  -1.68  -3.30  -1.09  -3.06  -2.96  -1.81  -3.52  -0.62  -0.62  -0.62
2021    4  -0.62  -0.62  -1.72  -3.38  -1.11  -3.13  -3.03  -1.85  -3.61  -0.63  -0.63  -0.63
2022    4  -0.63  -0.63  -1.76  -3.47  -1.13  -3.20  -3.10  -1.89  -3.69  -0.64  -0.64  -0.64
2023    4  -0.64  -0.64  -1.79  -3.55  -1.14  -3.28  -3.17  -1.93  -3.78  -0.64  -0.64  -0.64
2019    6   0.00   0.00   0.00   0.00   0.00 -11.36 -11.68  -9.94  -9.99  -3.01  -7.74  -2.89
2020    6  -3.04  -2.91  -6.27  -9.69  -3.85 -11.63 -11.96 -10.17 -10.22  -3.05  -7.91  -2.92
2021    6  -3.07  -2.94  -6.40  -9.91  -3.90 -11.90 -12.24 -10.40 -10.46  -3.08  -8.08  -2.95
2022    6  -3.10  -2.97  -6.52 -10.13  -3.96 -12.17 -12.52 -10.63 -10.69  -3.11  -8.25  -2.98
2023    6  -3.14  -3.00  -6.64 -10.35  -4.01 -12.44 -12.80 -10.86 -10.92  -3.15  -8.41  -3.01
2019    7   0.00   0.00   0.00   0.00   0.00  -1.25  -1.32  -1.12  -1.40  -0.57  -0.66  -0.57
2020    7  -0.57  -0.57  -1.10  -0.96  -0.74  -1.27  -1.34  -1.14  -1.42  -0.58  -0.67  -0.57
2021    7  -0.57  -0.57  -1.12  -0.98  -0.75  -1.30  -1.37  -1.16  -1.45  -0.58  -0.68  -0.58
2022    7  -0.58  -0.58  -1.14  -0.99  -0.76  -1.32  -1.40  -1.18  -1.48  -0.59  -0.68  -0.58
2023    7  -0.58  -0.58  -1.16  -1.01  -0.77  -1.35  -1.42  -1.20  -1.51  -0.59  -0.69  -0.59
2019    8   0.00   0.00   0.00   0.00   0.00  -0.36  -0.40  -0.28  -0.39  -0.07  -0.07  -0.07
2020    8  -0.07  -0.07  -0.16  -0.15  -0.19  -0.37  -0.41  -0.29  -0.39  -0.07  -0.07  -0.07
2021    8  -0.07  -0.07  -0.16  -0.15  -0.19  -0.38  -0.42  -0.29  -0.40  -0.07  -0.07  -0.07
