NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  97 POTEF   216.00  1 2020 12 2023
  97 GTMIN    86.40  1 2020 12 2023
  97 IPTER     0.00  1 2020  7 2020
  97 IPTER    17.87  8 2020  8 2020
  97 IPTER    23.09  9 2020  9 2020
  97 IPTER    12.66 10 2020 10 2020
  97 IPTER     0.00 11 2020 12 2020
 219 POTEF   157.17  6 2019 12 2019
 219 GTMIN    62.87  6 2019 12 2019
 220 POTEF    58.83  6 2019 12 2019
 220 GTMIN    23.53  6 2019 12 2019
  12 POTEF   529.20  6 2019 12 2023
  12 FCMAX     0.00  6 2019 12 2023
 153 POTEF    44.44  6 2019 12 2023
 153 FCMAX    84.99  6 2019 12 2023
  65 POTEF   254.80  6 2019 12 2023
  65 GTMIN   236.12  6 2019  8 2019
  65 GTMIN   220.37  9 2019  9 2019
  65 GTMIN   236.12 10 2019  2 2020
  65 GTMIN   220.89  3 2020  3 2020
  65 GTMIN   236.12  4 2020  4 2020
  65 GTMIN   220.89  5 2020  5 2020
  65 GTMIN   236.12  6 2020 10 2020
  65 GTMIN   220.37 11 2020 11 2020
  65 GTMIN   236.12 12 2020 12 2020
  65 GTMIN   198.04  1 2021  1 2021
  65 GTMIN   168.66  2 2021  2 2021
  65 GTMIN   236.12  3 2021  4 2021
  65 GTMIN   152.34  5 2021  5 2021
  65 GTMIN   220.37  6 2021  6 2021
  65 GTMIN   236.12  7 2021  7 2021
  65 GTMIN   152.34  8 2021  8 2021
  65 GTMIN   220.37  9 2021  9 2021
  65 GTMIN   236.12 10 2021 12 2021
  65 GTMIN   220.89  1 2022  1 2022
  65 GTMIN   236.12  2 2022  3 2022
  65 GTMIN   220.37  4 2022  4 2022
  65 GTMIN   236.12  5 2022  8 2022
  65 GTMIN   121.86 10 2022 10 2022
  65 GTMIN   236.12 11 2022 12 2022
  65 GTMIN   226.66  1 2023 12 2023
  65 IPTER     0.00  1 2020  2 2020
  65 IPTER     6.45  3 2020  3 2020
  65 IPTER     0.00  4 2020  4 2020
  65 IPTER     6.45  5 2020  5 2020
  65 IPTER     0.00  6 2020 10 2020
  65 IPTER     6.67 11 2020 11 2020
  65 IPTER     0.00 12 2020 12 2020
  65 IPTER    16.13  1 2021  1 2021
  65 IPTER    28.57  2 2021  2 2021
  65 IPTER     0.00  3 2021  4 2021
  65 IPTER    35.48  5 2021  5 2021
  65 IPTER     6.67  6 2021  6 2021
  65 IPTER     0.00  7 2021  7 2021
  65 IPTER    35.48  8 2021  8 2021
  65 IPTER     6.67  9 2021  9 2021
  65 IPTER     0.00 10 2021 12 2021
  65 IPTER     6.45  1 2022  1 2022
  65 IPTER     0.00  2 2022  3 2022
  65 IPTER     6.67  4 2022  4 2022
  65 IPTER     0.00  5 2022  8 2022
  65 IPTER   100.00  9 2022  9 2022
  65 IPTER    48.39 10 2022 10 2022
  65 IPTER     0.00 11 2022 12 2022
 183 POTEF   235.20  6 2019 12 2023
 183 GTMIN   201.50  6 2019 12 2023
 183 IPTER     4.01  6 2019 12 2023
 213 POTEF   320.65  6 2019 12 2019
 213 GTMIN     0.00 10 2019 10 2019
 213 GTMIN     0.00 11 2019 11 2019
 213 GTMIN     0.00 12 2019 12 2019
 214 POTEF    65.25  6 2019 12 2019
 214 GTMIN     0.00 10 2019 10 2019
 214 GTMIN     0.00 11 2019 11 2019
 214 GTMIN     0.00 12 2019 12 2019
  62 POTEF   385.90  1 2020 12 2023
  62 GTMIN     0.00  1 2020  1 2020
  62 GTMIN     0.00  2 2020  2 2020
  62 GTMIN     0.00  3 2020  3 2020
 110 POTEF   572.10  6 2019 12 2023
 110 FCMAX    65.51 10 2019 12 2023
 238 POTEF  1672.60  1 2023 12 2023
 238 GTMIN  1598.16  7 2023 10 2023
 238 GTMIN  1278.58 11 2023 11 2023
 155 POTEF   140.33  6 2019 12 2023
  54 POTEF    87.05  6 2019 12 2023
  15 POTEF   204.00  6 2019 12 2023
  15 GTMIN     0.00  6 2019  9 2019
  15 GTMIN     0.00 10 2019 10 2019
  15 GTMIN     0.00 11 2019 11 2019
  15 GTMIN     0.00 12 2019 12 2019
  15 GTMIN     0.00  1 2020  1 2020
  15 GTMIN     0.00  2 2020  2 2020
  15 GTMIN     0.00  3 2020  3 2020
  15 GTMIN     0.00  4 2020  4 2020
  15 GTMIN     0.00  5 2020  2 2022
  15 IPTER    11.29  1 2020  1 2020
  15 IPTER    12.07  2 2020  2 2020
  15 IPTER    13.71  3 2020  3 2020
  15 IPTER     3.33  4 2020  4 2020
  15 IPTER     8.06  5 2020  5 2020
  15 IPTER     4.17  6 2020  6 2020
  15 IPTER     8.06  7 2020  8 2020
  15 IPTER     8.33  9 2020  9 2020
  15 IPTER     8.06 10 2020 10 2020
  15 IPTER     8.33 11 2020 11 2020
  15 IPTER     4.03 12 2020 12 2020
  15 IPTER    14.52  1 2021  1 2021
  15 IPTER     9.82  2 2021  2 2021
  15 IPTER     5.65  3 2021  3 2021
