UH   ME ANO   P  MWmedio
XXX  XX XXXX  X  XXXX.X
275   6 2019  0  1461.0
275   7 2019  0  1480.0
275   8 2019  0  1500.0
275   9 2019  0  1400.0
275  10 2019  0  1300.0
275  12 2019  0  1400.0
275   2 2020  0  1500.0
275   5 2020  0  1600.0
275   8 2020  0  1500.0
275   9 2020  0  1400.0
275  10 2020  0  1300.0
275  12 2020  0  1400.0
275   2 2021  0  1500.0
275   5 2021  0  1600.0
275   8 2021  0  1500.0
275   9 2021  0  1400.0
275  10 2021  0  1300.0
275  12 2021  0  1400.0
275   2 2022  0  1500.0
275   5 2022  0  1600.0
275   8 2022  0  1500.0
275   9 2022  0  1400.0
275  10 2022  0  1300.0
275  12 2022  0  1400.0
275   2 2023  0  1500.0
275   5 2023  0  1600.0
275   8 2023  0  1500.0
275   9 2023  0  1400.0
275  10 2023  0  1300.0
275  12 2023  0  1400.0
275   2 POS   0  1500.0
275   5 POS   0  1600.0
275   8 POS   0  1500.0
275   9 POS   0  1400.0
275  10 POS   0  1300.0
275  12 POS   0  1400.0
 66   6 2019  0  5029.0
 66   7 2019  0  5114.0
 66   8 2019  0  5131.0
 66   9 2019  0  5200.0
 66  10 2019  0  5297.0
 66  11 2019  0  5246.0
 66  12 2019  0  5599.0
 66   1 2020  0  5548.0
 66   2 2020  0  5571.0
 66   3 2020  0  5534.0
 66   4 2020  0  5444.0
 66   5 2020  0  5213.0
 66   6 2020  0  5108.0
 66   7 2020  0  5153.0
 66   8 2020  0  5207.0
 66   9 2020  0  5280.0
 66  10 2020  0  5382.0
 66  11 2020  0  5328.0
 66  12 2020  0  5699.0
 66   1 2021  0  5646.0
 66   2 2021  0  5743.0
 66   3 2021  0  5631.0
 66   4 2021  0  5537.0
 66   5 2021  0  5293.0
 66   6 2021  0  5184.0
 66   7 2021  0  5231.0
 66   8 2021  0  5288.0
 66   9 2021  0  5364.0
 66  10 2021  0  5472.0
 66  11 2021  0  5415.0
 66  12 2021  0  5804.0
 66   1 2022  0  5748.0
 66   2 2022  0  5851.0
 66   3 2022  0  5733.0
 66   4 2022  0  5634.0
 66   5 2022  0  5378.0
 66   6 2022  0  5263.0
 66   7 2022  0  5312.0
 66   8 2022  0  5372.0
 66   9 2022  0  5452.0
 66  10 2022  0  5565.0
 66  11 2022  0  5506.0
 66  12 2022  0  5915.0
 66   1 2023  0  5856.0
 66   2 2023  0  5963.0
 66   3 2023  0  5840.0
 66   4 2023  0  5736.0
 66   5 2023  0  5467.0
 66   6 2023  0  5346.0
 66   7 2023  0  5398.0
 66   8 2023  0  5461.0
 66   9 2023  0  5545.0
 66  10 2023  0  5664.0
 66  11 2023  0  5601.0
 66  12 2023  0  6030.0
 66   1 POS   0  5856.0
 66   2 POS   0  5963.0
 66   3 POS   0  5840.0
 66   4 POS   0  5736.0
 66   5 POS   0  5467.0
 66   6 POS   0  5346.0
 66   7 POS   0  5398.0
 66   8 POS   0  5461.0
 66   9 POS   0  5545.0
 66  10 POS   0  5664.0
 66  11 POS   0  5601.0
 66  12 POS   0  6030.0
999
