EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
68PETROBRAS      211BAIXADA FLU       3 16112019  15    186.00
68PETROBRAS      219CCBS_L1           1 25112019   5    157.17
92TERNIUM         65DO ATLAN_CSA      1 16092019   2    254.80
68PETROBRAS      110F.GASPARIAN       1 11082019  30     96.41
68PETROBRAS      110F.GASPARIAN       2 04112019  30     96.39
68PETROBRAS      110F.GASPARIAN       4 12092019  30     96.67
68PETROBRAS       54JUIZ DE FORA      1 14102019  26     43.94
19LINHARES        15LINHARES          1 20102019   7     51.00
19LINHARES        15LINHARES          1 15122019   7     51.00
19LINHARES        15LINHARES          2 03112019   7     51.00
19LINHARES        15LINHARES          3 17112019   7     51.00
19LINHARES        15LINHARES          4 06102019   7     51.00
19LINHARES        15LINHARES          4 01122019   7     51.00
60NORTEFLU       174NORTEFLU-4        1 01102019   6    126.78
68PETROBRAS      217T LAGOAS_L1       1 01082019   2    134.25
68PETROBRAS      217T LAGOAS_L1       1 14102019   5    134.25
68PETROBRAS       90TERMOMACAE        3 01062019   8     46.30
68PETROBRAS       90TERMOMACAE        4 01062019   8     46.90
68PETROBRAS       90TERMOMACAE       10 09122019   6     44.67
68PETROBRAS       90TERMOMACAE       13 02122019   6     45.04
68PETROBRAS       90TERMOMACAE       17 19112019   5     46.13
68PETROBRAS      215TERMORIO_L1       1 01082019   4    770.33
68PETROBRAS      215TERMORIO_L1       1 08102019   2    770.33
68PETROBRAS       64CANOAS            1 06092019  20    160.57
68PETROBRAS       64CANOAS            2 06092019  20     88.00
23COPEL           28FIGUEIRA          1 01062019  61     10.00
23COPEL           28FIGUEIRA          2 01062019  61     10.00
24ENGIE BRASI     26J.LACERDA A1      1 01062019  26     50.00
24ENGIE BRASI     25J.LACERDA B       2 08092019  66    131.00
26PAMPA SUL      107PAMPA SUL         1 09102019   2    345.00
68PETROBRAS      112BAHIA I           1 01082019  21     10.30
68PETROBRAS      112BAHIA I           2 26082019  37     10.23
68PETROBRAS      166CAMACARI PI       1 18112019   5     40.00
68PETROBRAS      166CAMACARI PI       2 18112019   5     30.00
68PETROBRAS      166CAMACARI PI       3 23112019   5     40.00
68PETROBRAS      166CAMACARI PI       4 23112019   5     40.00
68PETROBRAS       74FAFEN             1 01062019  61     26.70
68PETROBRAS       74FAFEN             2 01062019  58     26.70
68PETROBRAS       74FAFEN             4 01062019 198     39.90
42CGTF            42FORTALEZA         1 04112019   5    107.92
42CGTF            42FORTALEZA         2 09112019   5    108.00
42CGTF            42FORTALEZA         3 04112019   5    110.69
17CANDEIAS        53GLOBAL I          1 01102019   3     34.72
17CANDEIAS        53GLOBAL I          2 01102019  20     34.72
17CANDEIAS        55GLOBAL II         1 01082019  20     34.72
17CANDEIAS        55GLOBAL II         1 01112019   3     34.72
17CANDEIAS        55GLOBAL II         3 01092019   3     34.72
17CANDEIAS        55GLOBAL II         3 01122019   3     34.72
17CANDEIAS        55GLOBAL II         4 01122019   2     44.64
24MARACANAU       57MARACANAU I       1 01062019  30     21.00
24MARACANAU       57MARACANAU I       2 01062019  30     21.00
24PERNAMB III     98PERNAMBU_III      1 18062019   1     52.38
24PERNAMB III     98PERNAMBU_III      2 18062019   1     52.38
24PERNAMB III     98PERNAMBU_III      3 17062019   4     52.38
24PERNAMB III     98PERNAMBU_III      4 17062019   4     43.65
11PETROLINA      144PETROLINA         1 01112019  30     17.03
11PETROLINA      144PETROLINA         2 01122019  30     17.03
11PETROLINA      144PETROLINA         3 01102019  30     17.03
11PETROLINA      144PETROLINA         4 01092019  30     17.03
11PETROLINA      144PETROLINA         5 01092019  30     17.03
11PETROLINA      144PETROLINA         6 01122019  30     17.03
