RES   USINAS PERTENCENTES AO CONJUNTO
XXX   XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX
  2   139
  3   288
  4   172
  5   176
  6   178
  7   156
999
RES MM/AAAA MM/AAAA P       RESTRICAO
XXX XX XXXX XX XXXX X XXXXXXXXXXXXXXX
  2  6 2019 12 2023 0    0.00
  3  6 2019  7 2019 0 8000.00
  3  8 2019  8 2019 0 4475.50
  3  9 2019  9 2019 0 4458.35
  3 10 2019 10 2019 0 4468.80
  3 11 2019 11 2019 0 4443.40
  3 12 2019 12 2019 0 4445.95
  3  7 2020  7 2020 0 4484.30
  3  8 2020  8 2020 0 4466.80
  3  9 2020  9 2020 0 4458.35
  3 10 2020 10 2020 0 4452.70
  3 11 2020 11 2020 0 4443.40
  3 12 2020 12 2020 0 4454.70
  3  7 2021  7 2021 0 4475.50
  3  8 2021  8 2021 0 4475.50
  3  9 2021  9 2021 0 4458.35
  3 10 2021 10 2021 0 4444.60
  3 11 2021 11 2021 0 4443.40
  3 12 2021 12 2021 0 4463.45
  3  7 2022  7 2022 0 4466.80
  3  8 2022  8 2022 0 4484.30
  3  9 2022  9 2022 0 4458.35
  3 10 2022 10 2022 0 4444.60
  3 11 2022 11 2022 0 4443.40
  3 12 2022 12 2022 0 4454.70
  3  7 2023  7 2023 0 8906.72
  3  8 2023  8 2023 0 8913.72
  3  9 2023  9 2023 0 8900.00
  3 10 2023 10 2023 0 8901.08
  3 11 2023 11 2023 0 8897.36
  3 12 2023 12 2023 0 8894.90
  4  6 2019 11 2019 0  358.32
  5  6 2019 11 2019 0  816.08
  6  6 2019 11 2019 0  867.68
  7  6 2019  6 2019 0  164.30
  7  7 2019 11 2019 0  172.04
999
