


    1 CAMARGOS         95.00     86.00    134.00     76.00     57.00     39.00     33.00     39.00     40.00     56.00    105.00    117.00
    2 ITUTINGA         95.00     86.00    134.00     76.00     57.00     39.00     33.00     39.00     40.00     56.00    105.00    117.00
    6 FURNAS          702.00    747.00   1292.00    775.00    539.00    239.00    172.00    225.00    194.00    442.00    763.00    925.00
    7 M. DE MORAE     809.00    881.00   1527.00    957.00    651.00    285.00    209.00    261.00    232.00    491.00    889.00   1046.00
    8 ESTREITO        835.00    910.00   1581.00   1000.00    678.00    296.00    217.00    269.00    241.00    501.00    916.00   1074.00
    9 JAGUARA         848.00    921.00   1604.00   1018.00    689.00    301.00    221.00    272.00    244.00    503.00    925.00   1086.00
   10 IGARAPAVA       881.00    955.00   1669.00   1069.00    721.00    314.00    232.00    282.00    254.00    514.00    954.00   1120.00
   11 VOLTA GRAND     947.00   1035.00   1812.00   1181.00    791.00    342.00    254.00    304.00    277.00    543.00   1029.00   1195.00
   12 P. COLOMBIA    1078.00   1194.00   2101.00   1409.00    946.00    416.00    309.00    354.00    323.00    604.00   1168.00   1332.00
   14 CACONDE          49.00     48.00     83.00     68.00     44.00     19.00     15.00     19.00     17.00     32.00     41.00     48.00
   15 E. DA CUNHA      80.00     76.00    136.00    111.00     73.00     31.00     25.00     31.00     27.00     53.00     66.00     78.00
   16 A.S.OLIVEIR      81.00     77.00    138.00    112.00     74.00     32.00     25.00     31.00     28.00     54.00     67.00     80.00
   17 MARIMBONDO     1539.00   1646.00   2982.00   2064.00   1399.00    674.00    524.00    579.00    515.00    934.00   1594.00   1780.00
   18 A. VERMELHA    1759.00   1882.00   3406.00   2389.00   1621.00    836.00    668.00    734.00    671.00   1118.00   1866.00   2049.00
   20 BOCAINA         143.00    129.00    220.00    167.00    123.00     51.00     39.00     35.00     31.00     43.00    213.00    184.00
   22 BATALHA          92.00     89.00    139.00    136.00     88.00     38.00     26.00     26.00     22.00     33.00    149.00    113.00
   23 CORUMBA III      93.00    110.00    184.00    202.00    117.00     60.00     45.00     39.00     32.00     62.00    152.00    127.00
   24 EMBORCACAO      405.00    365.00    624.00    475.00    348.00    146.00    110.00     98.00     87.00    122.00    605.00    521.00
   25 NOVA PONTE      255.00    334.00    532.00    314.00    231.00    104.00     88.00     76.00     72.00    126.00    375.00    324.00
   28 CAPIM BRANC     279.00    341.00    553.00    335.00    244.00    112.00     94.00     81.00     77.00    133.00    390.00    343.00
